file,line,column,type,code,message,docs,severity,link
.editorconfig,0,0,ERROR,hidden_files,"Hidden files are not permitted.",,8,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",155,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",190,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",440,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",182,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",224,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",303,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",354,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",396,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",434,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",516,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\DiscussionRepository.php",140,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\DiscussionRepository.php",211,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\FileRepository.php",149,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\FileRepository.php",221,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\MilestoneRepository.php",177,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\MilestoneRepository.php",210,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\MilestoneRepository.php",253,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\MilestoneRepository.php",281,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ProjectRepository.php",213,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ProjectRepository.php",256,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ProjectRepository.php",337,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ProjectRepository.php",382,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ProjectRepository.php",427,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RequestRepository.php",137,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RequestRepository.php",178,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RequestRepository.php",257,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RequestRepository.php",294,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RequestRepository.php",321,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RiskIssueRepository.php",191,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RiskIssueRepository.php",226,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\RiskIssueRepository.php",273,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
